,website,category,reachableornot,reason,requires_authentication,notes
0,epicgames.com,games,yes,,yes,
1,twitch.tv,games,no,browsernotsupported,,
2,roblox.com,games,no,doesnotacceptstdpassword,,
3,steampowered.com,games,yes,,yes,
4,ea.com,games,yes,,yes,
5,steamcommunity.com,games,no,ownedbysteampowered.com,,
6,rayjump.com,games,no,chinese,,
7,3dmgame.com,games,no,chinese,,
8,playstation.net,games,no,IPnotfound,,
9,nintendo.net,games,yes,,yes,
10,playstation.com,games,yes,,,
11,ali213.net,games,no,chinese,,
12,chess.com,games,yes,,Yes,
13,ign.com,games,no,filedunderentertainment,,
14,riotgames.com,games,no,datalostfeb26,,
15,yayoye-spiele.com,games,no,nosignup,,
16,huya.com,games,no,chinese,,
17,gamersky.com,games,no,chinese,,
18,jagex.com,games,no,nosignup,no,
19,xbox.com,games,yes,,?,ownedbymicrosoft
20,battle.net,games,yes,relatedtoblizzard,yes,
21,op.gg,games,yes,,yes,
22,blizzard.com,games,yes,,yes,
23,gamespot.com,games,yes,,?,
24,nintendo.com,games,no,ownedbynintendo.net,,
25,178.com,games,no,chinese,,
26,ubi.com,games,yes,,yes,
27,oppomobile.com,games,no,chinese,,
28,ztomy.com,games,no,connectionwasreset,,
29,gamer.com.tw,games,yes,,yes,
30,itch.io,games,yes,,no,
31,nga.cn,games,no,chinese,,
32,playrix.com,games,no,nosignup,,
33,zynga.com,games,no,nosignup,,
34,minecraft.net,games,no,microsoftsigninonly,,
35,callofduty.com,games,yes,,no,
36,wowhead.com,games,yes,,yes,
37,ruliweb.com,games,no,idverficationkorean,,
38,douyincdn.com,games,no,IPnotfound,,
39,leagueoflegends.com,games,no,ownedbyriotgames.com,,
40,lichess.org,games,yes,,no,
41,biligame.com,games,no,chinese,,
42,liquipedia.net,games,yes,,yes,usestl.netforlogin
43,futbin.com,games,no,filedundersports,,
44,nexon.com,games,yes,,yes,
45,4399.com,games,no,chinese,,
46,mihoyo.com,games,no,chinese,,
47,poki.com,games,no,nosignup,,
48,xboxlive.com,games,no,ownedbyxbox.com,,
49,inven.co.kr,games,no,idverficationkorean,,
50,gog.com,games,yes,,no,
51,rockstargames.com,games,yes,,yes,
52,king.com,games,yes,,yes,
53,polygon.com,games,yes,,yes,voxmedia.com-limitedmembershipfor24hrs
54,nexusmods.com,games,yes,,yes,
55,gamewith.jp,games,yes,,yes,
56,fitgirl-repacks.site,games,no,nosignup,,
57,wargaming.net,games,yes,,yes,
58,lilithgame.com,games,no,nosignup,,
59,activision.com,games,no,ownedbyblizzard.com,,emailalreadyinuse
60,18183.com,games,no,chinese,,
61,apksupply.com,games,no,chinese,,tooslow
62,pcgamer.com,games,no,nosignup,,
63,origin.com,games,no,ownedbyEA.com,,
64,curseforge.com,games,no,onlytwitchlogin,,
65,9game.cn,games,no,chinese,,
66,17173.com,games,no,chinese,,
67,gamestop.com,games,no,req_phone,,
68,palmplaystore.com,games,no,page_unavailable,,
69,anxia.com,games,no,chinese,,
70,hoyoverse.com,games,no,nosignup,,
71,playtika.com,games,no,nosignup,,
72,easybrain.com,games,no,nosignup,,
73,gamesradar.com,games,no,nosignup,,strikingsimilaritytopcgamer.com
74,newgrounds.com,games,yes,,yes,
75,lolesports.com,games,no,ownedbyriotgames.com,,
76,tapclap.com,games,no,nosignup,,
77,gamerant.com,games,no,nosignup,,
78,my.games,games,no,nosignup,,
79,bluestacks.com,games,no,nosignup,,
80,huijiwiki.com,games,yes,,yes,
81,huijiwiki.com,games,no,ownedbyunity.com,,
82,eurogamer.net,games,yes,,yes,usesreedpopidforlogin
83,crazygames.com,games,yes,,yes,
84,warthunder.com,games,yes,,yes,ownedbygaijin.net
85,easports.com,games,no,ownedbyea.com,,
86,steamdb.info,games,no,ownedbysteam,,
87,jeuxvideo.com,games,yes,,yes,
88,pokemon.com,games,yes,,yes,
89,game8.jp,games,yes,,yes,creationitselfnotmeasured
90,respawn.com,games,no,nosignup,,
91,forgeofempires.com,games,yes,,yes,
92,wizards.com,games,yes,,yes,
93,bethesda.net,games,yes,,yes,
94,thegamer.com,games,no,nosignup,,
95,epicgames.dev,games,no,ownedbyepicgames.com,,
96,kakuyomu.jp,games,yes,,yes,
97,byrut.org,games,yes,,no,
98,simpcity.su,games,no,porn,,
99,battlenet.com.cn,games,no,chinese,,
100,mcmod.cn,games,no,chinese,,
101,gameloft.com,games,no,nosignup,,
102,supercell.com,games,no,signiningameonly,,
103,ndmdhs.com,games,no,ipnotfound,,
104,worldofwarcraft.com,games,no,ownedbyblizzard.com,,
105,exitgames.com,games,no,goestophotonengine.com,,
106,ludia.net,games,no,nosignup,,
107,dycdn.com,games,no,IPnotfound,,
