foxnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, b4607c2cd5ad9662de56c4605e5c1d165e949332, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, 60201, hashing, post, hbopenbid.pubmatic.com, requires_authentication
foxnews.com/, general news, yes, yes, 60201, hashing, post, prebid-server.rubiconproject.com, requires_authentication
foxnews.com/, general news, yes, yes, Evanston, hashing, post, hbopenbid.pubmatic.com, requires_authentication
foxnews.com/, general news, yes, yes, Evanston, hashing, post, prebid-server.rubiconproject.com, requires_authentication
foxnews.com/, general news, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, b4607c2cd5ad9662de56c4605e5c1d165e949332, hashing, get, api.rlcdn.com, requires_authentication
foxnews.com/, general news, yes, yes, 60201, hashing, post, hbopenbid.pubmatic.com, requires_authentication
foxnews.com/, general news, yes, yes, 60201, hashing, post, prebid-server.rubiconproject.com, requires_authentication
foxnews.com/, general news, yes, yes, Evanston, hashing, post, hbopenbid.pubmatic.com, requires_authentication
foxnews.com/, general news, yes, yes, Evanston, hashing, post, prebid-server.rubiconproject.com, requires_authentication
